type;T;p;size;result
seq;73.128693;1;100000000;5761455 
seq;73.146984;1;100000000;5761455 
seq;72.915517;1;100000000;5761455
seq;72.558012;1;100000000;5761455
seq;72.524107;1;100000000;5761455
seq;72.611876;1;100000000;5761455 
seq;72.578273;1;100000000;5761455
seq;72.467871;1;100000000;5761455
seq;72.600544;1;100000000;5761455
seq;73.997053;1;100000000;5761455
seq;72.405841;1;100000000;5761455
seq;72.403959;1;100000000;5761455
seq;72.437564;1;100000000;5761455
seq;72.465368;1;100000000;5761455
seq;72.440628;1;100000000;5761455
seq;72.403978;1;100000000;5761455
seq;72.428320;1;100000000;5761455
seq;72.379665;1;100000000;5761455
seq;72.412614;1;100000000;5761455
openmp;40.008658;2;100000000;5761455
openmp;42.283311;2;100000000;5761455
openmp;40.305902;2;100000000;5761455
openmp;40.310150;2;100000000;5761455
openmp;43.751000;2;100000000;5761455
openmp;40.299776;2;100000000;5761455
openmp;41.233309;2;100000000;5761455
openmp;41.625496;2;100000000;5761455
openmp;43.181433;2;100000000;5761455
openmp;41.400355;2;100000000;5761455
openmp;23.632984;4;100000000;5761455
openmp;23.176963;4;100000000;5761455
openmp;23.587084;4;100000000;5761455
openmp;23.427250;4;100000000;5761455
openmp;21.826647;4;100000000;5761455 
openmp;21.770010;4;100000000;5761455 
openmp;23.635593;4;100000000;5761455 
openmp;23.728164;4;100000000;5761455
openmp;23.386311;4;100000000;5761455
openmp;23.707533;4;100000000;5761455 
openmp;14.183248;8;100000000;5761455
openmp;12.177388;8;100000000;5761455
openmp;13.992381;8;100000000;5761455
openmp;13.000930;8;100000000;5761455
openmp;14.128050;8;100000000;5761455
openmp;13.842901;8;100000000;5761455
openmp;13.513867;8;100000000;5761455
openmp;14.015898;8;100000000;5761455
openmp;14.150249;8;100000000;5761455
openmp;13.876833;8;100000000;5761455
openmp;11.038628;16;100000000;5761455 
openmp;10.468766;16;100000000;5761455 
openmp;10.930618;16;100000000;5761455
openmp;10.769668;16;100000000;5761455
openmp;10.998419;16;100000000;5761455
openmp;10.797719;16;100000000;5761455
openmp;10.747042;16;100000000;5761455
